Bike ID,Frequency
4727.0,220
6608.0,215
5839.0,208
6435.0,204
6424.0,204
6373.0,202
6405.0,202
6249.0,198
6583.0,198
6089.0,197
6474.0,196
6677.0,195
6277.0,194
6302.0,194
6527.0,194
6162.0,193
6076.0,192
5932.0,190
6303.0,188
6618.0,188
5871.0,188
6141.0,187
5924.0,186
6179.0,185
6223.0,185
6178.0,185
6536.0,185
5900.0,185
6254.0,184
6063.0,184
5929.0,184
6313.0,183
6286.0,183
6019.0,183
6115.0,183
6676.0,182
5770.0,182
6353.0,182
6314.0,182
6137.0,182
6328.0,181
6647.0,181
5781.0,181
6267.0,180
6621.0,180
6274.0,179
5966.0,179
6242.0,178
6075.0,178
6635.0,178
6059.0,177
6403.0,177
6299.0,177
6446.0,177
6234.0,176
6717.0,176
6283.0,175
6036.0,175
5862.0,175
5986.0,175
6389.0,174
6273.0,174
6288.0,174
6100.0,174
6102.0,174
6214.0,174
6260.0,173
6016.0,172
6487.0,172
6310.0,172
5873.0,172
5890.0,172
6390.0,171
6668.0,171
5844.0,171
6503.0,171
6580.0,170
5814.0,170
5842.0,170
6511.0,170
5931.0,170
6144.0,170
6216.0,170
6397.0,170
6371.0,170
5951.0,169
5786.0,169
5823.0,169
6452.0,169
6657.0,168
6413.0,168
6411.0,168
6398.0,168
6011.0,167
5754.0,167
6061.0,167
6588.0,167
6651.0,166
6096.0,166
5851.0,166
6556.0,165
6251.0,165
6521.0,165
6209.0,165
6065.0,164
6237.0,164
6215.0,164
6499.0,164
6603.0,164
6021.0,164
6510.0,163
6106.0,163
6173.0,163
6045.0,163
6081.0,163
6252.0,163
6393.0,163
6579.0,163
6256.0,163
6551.0,163
5891.0,163
6262.0,162
5879.0,162
5817.0,162
6374.0,162
6379.0,162
5998.0,161
6644.0,161
6728.0,161
6631.0,161
6305.0,160
5927.0,160
6692.0,160
6038.0,160
5825.0,159
5861.0,159
5875.0,159
5943.0,159
5739.0,159
5922.0,159
5798.0,159
6334.0,158
6626.0,158
5764.0,158
6003.0,158
6545.0,158
6542.0,158
6520.0,158
5937.0,158
5738.0,158
5881.0,158
6185.0,157
6461.0,157
5939.0,157
6108.0,157
6554.0,157
5973.0,157
6181.0,156
6675.0,156
5961.0,156
5819.0,156
5856.0,156
6307.0,155
5899.0,155
6212.0,155
6324.0,155
6573.0,155
5860.0,155
6166.0,155
6159.0,155
6312.0,155
6143.0,155
5972.0,155
6130.0,155
5984.0,155
6053.0,155
5992.0,155
6634.0,154
