,Frequency,Route
0,4,3016-3016
1,7,3076-3005
2,10,3031-3031
3,1,3031-3047
4,7,3031-3076
5,1,3018-3068
6,8,3063-3014
7,3,3034-3019
8,2,3016-3033
9,5,3005-3052
10,1,3047-3030
11,2,3040-3006
12,1,3016-3032
13,2,3022-3035
14,38,3030-3014
15,11,3037-3022
16,4,3066-3058
17,1,3006-3052
18,3,3030-3016
19,4,3018-3038
20,7,3068-3014
21,3,3018-3019
22,2,3006-3014
23,2,3047-3063
24,3,3031-3055
25,5,3052-3007
26,4,3065-3065
27,2,3076-3032
28,10,3030-3067
29,5,3014-3016
30,1,3049-3047
31,3,3075-3005
32,1,3040-3042
33,4,3066-3066
34,5,3066-3006
35,1,3005-3016
36,3,3019-3062
37,11,3005-3042
38,6,3042-3038
39,1,3021-3052
40,5,3032-3030
41,3,3055-3006
42,30,3042-3030
43,9,3067-3021
44,25,3022-3058
45,18,3063-3018
46,3,3030-3034
47,1,3062-3021
48,2,3055-3031
49,6,3042-3037
50,5,3021-3031
51,8,3021-3067
52,4,3037-3042
53,2,3067-3062
54,5,3021-3021
55,24,3018-3063
56,8,3075-3035
57,19,3030-3021
58,33,3058-3022
59,7,3005-3030
60,10,3038-3076
61,2,3036-3016
62,6,3052-3035
63,6,3060-3060
64,22,3014-3005
65,4,3035-3069
66,6,3058-3014
67,4,3030-3005
68,1,3069-3065
69,12,3006-3067
70,2,3007-3036
71,2,3019-3019
72,17,3076-3038
73,2,3065-3052
74,4,3030-3051
75,3,3065-3063
76,2,3051-3021
77,4,3036-3036
78,6,3005-3035
79,6,3042-3076
80,3,3035-3055
81,2,3028-3065
82,3,3021-3063
83,2,3076-3062
84,1,3036-3007
85,4,3065-3005
86,1,3014-3074
87,1,3034-3065
88,8,3052-3052
89,5,3028-3005
90,3,3028-3032
91,7,3019-3038
92,16,3075-3063
93,1,3035-3028
94,12,3058-3058
95,3,3006-3058
96,1,3032-3026
97,3,3036-3038
98,3,3035-3021
99,61,3030-3042
100,37,3032-3074
101,24,3005-3031
102,9,3054-3042
103,4,3035-3026
104,2,3022-3063
105,1,3057-3057
106,7,3038-3036
107,14,3040-3005
108,5,3075-3074
109,21,3014-3063
110,9,3022-3054
111,5,3006-3031
112,2,3066-3038
113,9,3054-3076
114,3,3005-3037
115,14,3069-3006
116,6,3006-3006
117,15,3031-3005
118,3,3058-3067
119,2,3026-3063
120,4,3047-3068
121,8,3067-3035
