,Frequency,Route
0,71,3014-3014
1,4,3021-3054
2,61,3022-3014
3,11,3031-3078
4,60,3063-3005
5,133,3042-3030
6,27,3018-3018
7,10,3054-3030
8,7,3006-3033
9,6,3018-3007
10,308,3014-3016
11,5,3037-3063
12,20,3063-3014
13,18,3005-3021
14,3,3018-3068
15,13,3037-3037
16,8,3040-3006
17,34,3066-3016
18,3,3037-3042
19,7,3033-3036
20,87,3030-3030
21,8,3033-3030
22,2,3034-3053
23,6,3031-3065
24,618,3030-3014
25,61,3030-3016
26,3,3022-3028
27,11,3030-3018
28,57,3006-3055
29,7,3063-3033
30,13,3063-3065
31,22,3051-3051
32,85,3019-3019
33,28,3030-3065
34,24,3006-3052
35,12,3033-3006
36,7,3054-3014
37,477,3014-3030
38,33,3055-3038
39,29,3006-3047
40,11,3065-3031
41,36,3014-3065
42,16,3047-3018
43,54,3076-3018
44,22,3007-3047
45,287,3030-3042
46,7,3018-3075
47,51,3019-3063
48,228,3016-3014
49,17,3065-3065
50,14,3005-3040
51,98,3030-3005
52,56,3005-3030
53,70,3052-3049
54,34,3034-3031
55,2,3040-3042
56,69,3016-3016
57,17,3032-3006
58,27,3040-3005
59,1,3016-3075
60,5,3067-3065
61,3,3034-3016
62,44,3014-3006
63,149,3005-3062
64,59,3020-3020
65,45,3014-3067
66,18,3021-3006
67,4,3063-3078
68,14,3034-3051
69,48,3042-3049
70,11,3066-3078
71,103,3016-3031
72,78,3067-3042
73,54,3030-3021
74,1,3049-3033
75,2,3021-3052
76,22,3049-3006
77,21,3035-3018
78,90,3005-3049
79,27,3006-3022
80,65,3052-3035
81,4,3051-3066
82,6,3031-3054
83,15,3030-3034
84,53,3021-3022
85,98,3022-3021
86,13,3062-3021
87,75,3035-3052
88,43,3034-3006
89,71,3049-3035
90,9,3021-3034
91,70,3014-3062
92,35,3006-3034
93,50,3035-3006
94,12,3034-3021
95,60,3042-3042
96,24,3066-3066
97,9,3058-3037
98,11,3045-3080
