,Frequency,Route
0,95,3032-3032
1,63,3029-3029
2,46,3046-3046
3,132,3024-3024
4,8,4108-4108
5,108,3058-3058
6,318,3048-3048
7,6,3027-3008
8,13,3046-3006
9,73,3069-3022
10,88,3027-3027
11,186,3063-3063
12,10,3063-3051
13,92,3007-3007
14,2,3040-3021
15,14,3006-3018
16,9,3046-3067
17,1,3066-3065
18,11,3008-3032
19,11,3011-3031
20,175,3023-3023
21,20,3032-3034
22,12,3023-3030
23,22,3035-3047
24,24,3021-3022
25,17,3005-3052
26,118,3008-3008
27,75,3055-3055
28,17,3006-3064
29,12,3055-3011
30,43,3031-3064
31,16,3075-3011
32,9,3014-3011
33,16,3031-3007
34,13,3011-3063
35,262,3069-3069
36,34,3049-3005
37,27,3074-3035
38,16,3055-3014
39,25,3068-3035
40,10,3005-3049
41,2,3026-3055
42,13,3014-3021
43,21,3067-3069
44,2,3033-3051
45,24,3068-3031
46,7,3035-3077
47,22,3005-3057
48,97,3078-3078
49,22,3069-3055
50,23,3069-3067
51,21,3035-3068
52,2,3025-3011
53,115,3062-3062
54,2,3005-3080
55,128,3038-3038
56,121,3074-3074
57,24,3075-3031
58,11,3075-3034
59,53,3036-3022
60,59,3035-3011
61,15,3016-3021
62,15,3035-3055
63,168,3035-3035
64,7,3055-3065
65,13,3046-3069
66,12,3032-3075
67,51,3049-3035
68,9,3047-3011
69,16,3023-3021
70,3,3076-3016
71,32,3063-3069
72,9,3068-3049
73,3,3029-3035
74,15,3021-3014
75,20,3040-3008
76,18,3063-3040
77,10,3068-3075
78,24,3011-3008
79,16,3036-3048
80,5,3068-3033
81,28,3069-3063
82,77,3069-3042
83,7,3035-3029
84,16,3014-3066
85,13,3069-3026
86,140,3031-3031
87,164,3014-3014
88,31,3008-3049
89,16,3007-3008
90,187,3042-3042
91,14,3016-3014
92,28,3006-3038
93,15,3005-3058
94,7,3068-3067
95,16,3069-3016
96,20,3029-3021
97,8,3021-3027
98,15,3051-3074
99,1,3011-3018
100,13,3011-3047
101,17,3035-3021
102,43,3069-3021
103,26,3054-3022
104,56,3005-3031
105,20,3038-3006
106,9,3021-3062
107,122,3021-3021
108,23,3019-3019
109,37,3042-3069
110,108,3034-3034
111,14,3076-3032
112,7,3019-3008
113,9,3047-3035
114,10,3068-3018
115,9,3036-3069
116,29,3031-3052
117,41,3031-3034
118,41,3010-3010
119,11,3038-3019
120,7,3077-3069
121,56,3059-3059
122,118,3049-3049
123,16,3063-3022
124,10,3007-3021
125,111,3076-3076
126,18,3052-3008
127,30,3035-3049
128,36,3021-3069
129,13,3027-3069
130,173,3005-3005
131,17,3034-3075
132,4,3058-3063
133,9,3048-3006
134,12,3014-3023
135,20,3005-3035
136,5,3055-3068
137,206,3022-3022
138,26,3032-3069
139,4,3006-3033
140,13,3038-3063
141,33,3029-3022
142,7,3065-3078
143,15,3005-3047
144,7,3031-3028
145,1,3029-3080
146,36,3029-3042
147,67,3065-3065
148,7,3048-3021
149,21,3066-3042
150,117,3068-3068
151,17,3046-3042
152,16,3031-3051
153,4,3021-3006
154,20,3069-3051
155,12,3006-3035
156,16,3055-3063
157,36,3068-3014
158,20,3067-3021
159,50,3037-3037
160,14,3074-3011
161,26,3028-3031
162,3,3062-3021
163,2,3046-3052
164,4,3046-3029
165,126,3067-3067
166,21,3035-3063
167,7,3067-3011
168,4,3046-3064
169,30,3048-3058
170,141,3011-3011
171,10,3047-3056
172,25,3069-3007
173,6,3063-3055
174,18,3021-3058
175,18,3035-3042
176,50,3034-3069
177,19,3038-3021
178,2,3059-3057
179,7,3058-3067
180,11,3006-3042
181,10,3063-3048
182,4,3055-3034
183,35,3069-3034
184,4,3016-3047
185,12,3042-3006
186,13,3021-3067
187,14,3047-3038
188,1,3027-3081
189,6,3018-3042
190,5,3048-3046
191,13,3034-3055
192,12,3063-3064
193,58,3028-3028
194,7,3014-3016
195,12,3042-3029
196,4,3075-3056
197,10,3075-3047
198,23,3062-3075
199,8,3034-3007
200,6,3005-3060
201,26,3060-3060
202,21,3055-3035
203,27,3052-3069
204,6,3025-3032
205,11,3055-3030
206,17,3005-3048
207,9,3007-3030
208,11,3047-3006
209,9,3047-3031
210,21,3052-3064
211,29,3069-3030
212,3,3075-3057
213,22,3014-3042
214,14,3005-3034
215,22,3007-3042
216,14,3036-3005
217,9,3027-3063
218,13,3069-3019
219,31,3035-3031
220,9,3074-3032
221,182,3030-3030
222,27,3042-3022
223,20,3042-3007
224,13,3007-3075
225,3,3018-3037
226,3,3075-3062
227,10,3036-3031
228,12,3038-3062
229,4,3034-3008
230,21,3038-3074
231,34,3038-3042
232,40,3069-3074
233,27,3035-3069
234,30,3007-3064
235,16,3052-3051
236,13,3052-3040
237,5,3077-3021
238,16,3067-3007
239,32,3031-3011
240,2,3078-3034
241,29,3074-3038
242,6,3068-3062
243,4,3026-3028
244,19,3007-3034
245,44,3030-3042
246,11,3047-3005
247,11,3078-3031
248,140,3040-3040
249,46,3035-3034
250,4,3021-3076
251,18,3068-3026
252,9,3051-3058
253,21,3075-3064
254,41,3022-3014
255,8,3028-3078
256,75,3018-3018
257,3,3052-3021
258,6,3029-3067
259,36,3057-3057
260,2,3059-3021
261,30,3008-3031
262,17,3051-3052
263,11,3030-3049
264,12,3075-3055
265,2,3033-3055
266,4,3034-3014
267,6,3023-3018
268,12,3034-3051
269,8,3075-3008
270,4,3056-3006
271,9,3055-3018
272,4,3006-3056
273,6,3049-3016
274,32,3005-3008
275,2,3045-3049
276,10,3030-3008
277,17,3030-3064
278,8,3021-3029
279,38,3077-3077
280,24,3008-3052
281,6,3028-3066
282,128,3047-3047
283,25,3034-3006
284,17,3008-3007
285,59,3027-3014
286,14,3014-3036
287,2,3016-3063
288,6,3022-3023
289,45,3034-3035
290,9,3051-3030
291,2,3008-3034
292,5,3016-3048
293,8,3006-3021
294,10,3034-3067
295,2,3048-3040
296,30,3005-3063
297,15,3006-3022
298,32,3031-3008
299,4,3021-3051
300,31,3031-3074
301,1,3057-3042
302,34,3069-3033
303,17,3074-3031
304,5,3025-3056
305,6,3036-3067
306,6,3077-3032
307,6,3079-3062
308,58,3075-3069
309,20,3075-3067
310,38,3030-3014
311,18,3014-3063
312,4,3062-3076
313,3,3019-3016
314,4,3008-3016
315,23,3030-3019
316,4,3018-3007
317,20,3052-3005
318,16,3076-3006
319,10,3067-3048
320,13,3021-3037
321,18,3031-3006
322,13,3021-3005
323,3,3059-3010
324,7,3011-3032
325,43,3048-3069
326,44,3022-3069
327,9,3029-3006
328,19,3049-3064
329,9,3063-3007
330,6,3019-3063
331,4,3011-3034
332,1,3068-3058
333,4,3020-3075
334,4,3055-3066
335,13,3069-3037
336,33,3037-3048
337,20,3046-3078
338,8,3048-3005
339,9,3032-3008
340,6,3074-3007
341,79,3026-3026
342,13,3006-3034
343,15,3063-3005
344,13,3032-3011
345,16,3019-3035
346,22,3024-3042
347,7,3005-3021
348,5,3006-3037
349,6,3063-3032
350,8,3068-3078
351,7,3011-3057
352,21,3005-3067
353,17,3005-3030
354,1,3008-3019
355,6,3042-3078
356,7,3008-3025
357,12,3022-3055
358,12,3030-3040
359,8,3014-3024
360,3,3078-3032
361,21,3026-3005
362,13,3049-3030
363,8,3005-3019
364,1,3020-3034
365,2,3068-3052
366,4,3027-3025
367,51,3020-3020
368,3,3056-3076
369,104,3066-3066
370,26,3014-3030
371,112,3052-3052
372,90,3075-3075
373,12,3022-3030
374,34,3030-3063
375,78,3069-3014
376,8,3007-3058
377,25,3068-3064
378,7,3068-3022
379,21,3007-3063
380,41,3069-3031
381,3,3058-3032
382,26,3005-3040
383,15,3021-3023
384,23,3018-3005
385,11,3007-3035
386,16,3067-3023
387,38,3067-3042
388,4,3030-3078
389,24,3031-3032
390,39,3023-3031
391,17,3027-3006
392,29,3006-3069
393,7,3052-3014
394,3,3060-3005
395,40,3011-3035
396,13,3051-3006
397,26,3006-3046
398,15,3068-3038
399,3,3066-3078
400,14,3008-3035
401,4,3030-3038
402,3,3055-3051
403,5,3006-3027
404,86,3051-3051
405,4,3035-3066
406,20,3063-3014
407,3,3008-3021
408,7,3063-3025
409,13,3022-3063
410,15,3055-3021
411,8,3005-3022
412,9,3058-3031
413,9,3075-3060
414,20,3018-3074
415,43,3042-3014
416,40,3034-3064
417,19,3042-3008
418,3,3060-3006
419,5,3074-3033
420,8,3007-3055
421,6,3026-3008
422,8,3055-3075
423,55,3022-3058
424,10,3037-3058
425,20,3021-3055
426,11,3029-3049
427,1,3077-3047
428,16,3014-3068
429,6,3049-3054
430,32,3030-3005
431,23,3062-3005
432,15,3005-3023
433,3,3076-3056
434,26,3024-3005
435,37,3042-3031
436,8,3031-3068
437,6,3023-3007
438,13,3069-3077
439,23,3048-3037
440,16,3030-3067
441,14,3028-3065
442,2,3014-3057
443,2,3030-3036
444,5,3006-3052
445,18,3033-3033
446,2,3018-3025
447,6,3021-3016
448,4,3079-3063
449,3,3025-3052
450,29,3048-3014
451,3,3068-3079
452,2,3033-3027
453,10,3068-3016
454,2,3065-3028
455,18,3027-3075
456,14,3068-3021
457,3,3036-3051
458,2,3008-3060
459,13,3026-3063
460,19,3014-3027
461,6,3067-3033
462,38,3069-3048
463,44,3051-3069
464,4,3018-3035
465,6,3032-3078
466,2,3021-3028
467,7,3069-3020
468,22,3052-3031
469,7,3024-3014
470,23,3022-3027
471,2,3048-3052
472,17,3006-3008
473,11,3023-3068
474,12,3038-3008
475,11,3051-3048
476,41,3069-3064
477,5,3077-3018
478,8,3068-3025
479,28,3042-3051
480,8,3076-3011
481,16,3005-3065
482,10,3048-3034
483,25,3074-3018
484,14,3031-3038
485,6,3030-3021
486,5,3022-3049
487,5,3057-3018
488,26,3008-3067
489,43,3031-3035
490,2,3038-3079
491,31,3055-3069
492,7,3055-3007
493,6,3067-3054
494,23,3023-3005
495,5,3076-3057
496,13,3055-3064
497,22,3022-3031
498,9,3018-3067
499,10,3005-3074
500,4,3008-3029
501,5,3033-3037
502,19,3027-3067
503,7,3030-3074
504,4,3054-3023
505,26,3054-3042
506,9,3028-3064
507,4,3034-3047
508,7,3042-3030
509,15,3069-3027
510,8,3005-3068
511,9,3023-3008
512,6,3021-3042
513,2,3018-3049
514,7,3006-3057
515,46,3031-3005
516,14,3031-3022
517,7,3026-3049
518,14,3022-3029
519,4,3033-3068
520,25,3031-3069
521,11,3032-3007
522,13,3014-3038
523,11,3030-3034
524,33,3042-3067
525,14,3034-3048
526,1,3021-3052
527,3,3034-3028
528,7,3056-3035
529,13,3016-3069
530,3,3060-3057
531,12,3035-3006
532,11,3034-3076
533,34,3062-3031
534,14,3021-3074
535,2,3067-3010
