Ending Station ID,Frequency
3005.0,4621
3031.0,4175
3014.0,4091
3042.0,3862
3069.0,3622
3064.0,3469
3030.0,3264
3022.0,3138
3082.0,3010
3067.0,2690
3035.0,2654
3063.0,2565
3038.0,2466
3034.0,2364
3048.0,2297
3006.0,2238
3032.0,2065
3055.0,1910
3074.0,1820
3023.0,1813
3049.0,1812
3075.0,1721
3008.0,1687
3019.0,1636
3016.0,1591
3062.0,1542
3076.0,1502
3021.0,1490
3051.0,1470
3058.0,1469
3007.0,1456
3047.0,1445
3027.0,1378
3052.0,1128
3056.0,1122
3036.0,1075
3011.0,1063
3037.0,1054
3029.0,988
3018.0,976
3026.0,935
3066.0,883
3046.0,813
3065.0,792
3068.0,782
3024.0,669
3077.0,598
3040.0,596
3078.0,578
3033.0,577
3054.0,571
3059.0,554
3025.0,517
3079.0,512
3020.0,483
3081.0,442
3028.0,408
3010.0,335
3060.0,317
3057.0,300
3045.0,217
3080.0,145
4108.0,50
3053.0,12
