,Hour,Number of Trips
0,0,9.40782122905028
1,1,6.106145251396648
2,2,4.346368715083799
3,3,2.340782122905028
4,4,1.7988826815642458
5,5,2.0391061452513966
6,6,6.5698324022346375
7,7,17.70391061452514
8,8,26.217877094972067
9,9,25.575418994413408
10,10,21.54189944134078
11,11,28.089385474860336
12,12,39.45810055865922
13,13,41.03351955307263
14,14,34.89385474860335
15,15,33.608938547486034
16,16,39.30167597765363
17,17,46.87709497206704
18,18,45.2513966480447
19,19,35.296089385474865
20,20,27.0
21,21,21.893854748603353
22,22,16.793296089385475
23,23,13.363128491620111
