,Hour,Number of Trips
0,0,7.831460674157303
1,1,5.713483146067415
2,2,3.5056179775280896
3,3,1.8595505617977528
4,4,1.8539325842696628
5,5,2.404494382022472
6,6,7.691011235955056
7,7,19.43820224719101
8,8,28.41011235955056
9,9,25.758426966292134
10,10,22.831460674157302
11,11,32.252808988764045
12,12,41.741573033707866
13,13,39.96629213483146
14,14,34.37078651685393
15,15,33.657303370786515
16,16,39.79213483146067
17,17,48.30898876404494
18,18,43.38202247191011
19,19,34.08426966292135
20,20,25.51123595505618
21,21,20.94943820224719
22,22,16.264044943820224
23,23,12.0
