Station ID,Frequency
3005.0,8230
3031.0,7625
3014.0,7595
3069.0,7337
3030.0,7051
3064.0,6850
3042.0,6778
3022.0,5931
3067.0,5617
3082.0,5433
3035.0,5271
3038.0,4995
3034.0,4707
3063.0,4658
3048.0,4452
3055.0,4400
3006.0,4333
3049.0,4100
3032.0,4021
3074.0,3500
3007.0,3400
3075.0,3330
3023.0,3278
3008.0,3267
3027.0,3221
3016.0,3203
3062.0,3101
3047.0,3089
3019.0,3076
3051.0,3049
3068.0,3022
3076.0,2932
3052.0,2838
3058.0,2804
3021.0,2744
3029.0,2347
3056.0,2229
3026.0,2100
3024.0,2069
3036.0,1982
3011.0,1935
3066.0,1922
3037.0,1892
3018.0,1865
3046.0,1787
3065.0,1541
3040.0,1366
3028.0,1266
3077.0,1207
3054.0,1158
3059.0,1125
3078.0,1106
3033.0,1106
3079.0,1015
3025.0,990
3020.0,911
3081.0,827
3010.0,709
3060.0,611
3057.0,589
3045.0,353
3080.0,295
4108.0,84
3053.0,25
