Starting Station ID,Frequency
3030.0,3787
3069.0,3715
3005.0,3609
3014.0,3504
3031.0,3450
3064.0,3381
3067.0,2927
3042.0,2916
3022.0,2793
3035.0,2617
3038.0,2529
3055.0,2490
3082.0,2423
3034.0,2343
3049.0,2288
3068.0,2240
3048.0,2155
3006.0,2095
3063.0,2093
3032.0,1956
3007.0,1944
3027.0,1843
3052.0,1710
3074.0,1680
3047.0,1644
3016.0,1612
3075.0,1609
3008.0,1580
3051.0,1579
3062.0,1559
3023.0,1465
3019.0,1440
3076.0,1430
3024.0,1400
3029.0,1359
3058.0,1335
3021.0,1254
3026.0,1165
3056.0,1107
3066.0,1039
3046.0,974
3036.0,907
3018.0,889
3011.0,872
3028.0,858
3037.0,838
3040.0,770
3065.0,749
3077.0,609
3054.0,587
3059.0,571
3033.0,529
3078.0,528
3079.0,503
3025.0,473
3020.0,428
3081.0,385
3010.0,374
3060.0,294
3057.0,289
3080.0,150
3045.0,136
4108.0,34
3053.0,13
